Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 1,27.05199716,0.461690813,1.72609573,20.9439528,0.172081381,-166.61608,29.92864737,6.390847712,3.363256086,4.972925576,3,0.049149197,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 1,31.26862393,1.25E-04,10.14013595,25.81818182,6.71E-06,-328.200161,10.3532429,25.21845421,4.73300992,29.19855654,4,0.018440394,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 1,53.43022647,0.24109498,2.481700349,19.50549451,0.096355533,-162.6252634,24.88688193,39.48134866,17.94365423,6.556919011,4,0.008830392,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 10,5.065257277,1.95E-06,14.29685835,23.98648649,8.79E-09,-138.5721009,8.176043938,8.979307365,1.281071755,41.58933329,6,0.218942882,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 10,4.464489745,2.59E-05,11.71333989,23.90572391,2.12E-07,-126.9858564,9.204688593,8.256086761,1.326965245,35.93978115,17,0.054976596,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 10,3.88637319,8.29E-05,10.54786772,23.35526316,1.30E-06,-132.1713471,9.821751319,7.486671639,1.299708369,32.48310391,9,0.048544398,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 11,3.493254199,6.75E-05,10.75347819,22.97734628,1.23E-05,-211.4816095,11.47840759,4.21236838,0.814502579,27.93644193,8,0.054306437,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 11,5.918611554,0.003464001,6.815902919,23.82550336,0.001635752,-152.8523605,15.32971817,3.907822348,1.040645604,16.96939723,3,0.050351369,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 11,7.510833039,0.006353046,6.209392913,22.32704403,0.00110384,-199.2208392,15.18321573,3.559808563,0.918078115,17.91058961,3,0.076915163,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 13,23.24009462,4.29E-04,8.904891941,22.97734628,3.49E-05,-147.0713338,11.5490383,15.24282282,3.119070971,25.73390046,4,0.032110002,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 13,26.30590088,4.50E-06,13.46206867,23.66666667,1.48E-08,-106.3263172,8.226302691,18.77290887,2.728267673,40.6954352,12,0.040779927,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 13,22.74884252,1.20E-07,17.08879671,23.7458194,3.24E-07,-93.02639658,9.27137519,15.10395894,2.469806408,35.14957058,22,0.184707241,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 15,6.901472005,0.073079025,3.741065781,23.98648649,0.007288939,-125.7716042,17.61461305,3.398946706,1.044992544,13.29418188,2,0.062224061,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 15,8.056715274,3.42E-04,9.132239176,20.40229885,4.61E-05,-257.4121481,11.87829532,5.063932407,1.052418828,25.12919934,6,0.061620383,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 15,8.464107746,9.12E-07,15.05787607,21.64634146,2.36E-09,-164.7746497,7.540338714,7.244520896,0.988437813,43.77449333,6,0.037282655,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 16,10.847226,2.02E-10,23.47546458,24.06779661,9.99E-16,-181.8012347,5.244228831,15.00246488,1.376796503,63.24646633,25,0.276371982,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 16,8.091307409,1.29E-08,19.3129806,24.06779661,1.63E-12,-182.8915508,6.289751662,10.41293842,1.146075607,54.470678,20,0.176223858,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 16,4.299648466,4.77E-05,11.10047872,21.64634146,3.11E-05,-240.3292491,12.05414188,5.909279846,1.201009244,25.97560479,7,0.135352795,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 17,4.820011408,0.078272426,3.670524657,23.66666667,0.04382931,-178.4650478,22.69792294,3.969189376,1.551228044,8.66634049,6,0.077932827,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 17,3.503905475,0.159517113,2.927915349,20.05649718,0.047756289,-356.9234534,22.71474456,3.228718595,1.280961363,8.438893767,4,0.039935044,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 17,2.947911467,0.015491878,5.312684406,21.25748503,0.004311436,-236.4216056,16.90269641,3.868396442,1.126351527,14.60384498,3,0.042452047,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
