Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 1,27.0519971594381,0.461690813404329,1.72609573013339,20.9439528023599,0.172081381432449,-166.616080031775,29.9286473683155,6.39084771219641,3.36325608638536,4.97292557558637,3,0.04914919744546,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 1,31.2686239275858,1.24704461740889e-4,10.1401359537186,25.8181818181818,6.7058349695337e-6,-328.200160993103,10.3532429032895,25.2184542111689,4.73300992035843,29.1985565418662,4,0.018440394380295,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 1,53.4302264711077,0.241094979500618,2.4817003485517,19.5054945054945,0.0963555328343391,-162.625263436151,24.8868819302049,39.4813486616937,17.9436542275904,6.55691901060695,4,0.00883039235952822,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 10,5.0652572772658,1.9527218861042e-6,14.2968583472374,23.9864864864865,8.7898129885744e-9,-138.572100904392,8.17604393819773,8.97930736473063,1.28107175513756,41.5893332917382,6,0.218942881627471,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 10,4.46448974481604,2.58611720486721e-5,11.7133398904053,23.9057239057239,2.12471372051937e-7,-126.985856415697,9.20468859273962,8.25608676139267,1.32696524516825,35.9397811473337,17,0.0549765957968696,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 10,3.88637318999789,8.29480796645587e-5,10.5478677197123,23.3552631578947,1.30235735029682e-6,-132.171347135614,9.82175131899623,7.48667163934901,1.29970836850585,32.4831039063713,9,0.0485443979804485,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 11,3.49325419857231,6.75321916752379e-5,10.7534781876646,22.9773462783171,1.23364922826052e-5,-211.481609459408,11.4784075894708,4.21236837975602,0.814502578744214,27.9364419292093,8,0.0543064373844469,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 11,5.91861155363172,0.00346400137418855,6.81590291917515,23.8255033557047,0.0016357524572953,-152.852360453036,15.3297181686028,3.90782234762162,1.04064560435393,16.9693972260847,3,0.0503513693601528,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 11,7.51083303894636,0.00635304606979777,6.20939291266257,22.3270440251572,0.00110384019326992,-199.220839224017,15.1832157349854,3.55980856266274,0.918078115197342,17.9105896108892,3,0.0769151628277198,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
