"","Date","Time","Values"
"1","2020/03/14","12:00:00","40"
"2","2020/03/14","13:00:00","0"
"3","2020/03/14","14:00:00","7"
"4","2020/03/14","15:00:00","2"
"5","2020/03/14","16:00:00","1"
"6","2020/03/14","17:00:00","5"
"7","2020/03/14","18:00:00","0"
"8","2020/03/14","19:00:00","0"
"9","2020/03/14","20:00:00","0"
"10","2020/03/14","21:00:00","0"
"11","2020/03/14","22:00:00","0"
"12","2020/03/14","23:00:00","0"
"13","2020/03/15","00:00:00","0"
"14","2020/03/15","01:00:00","0"
"15","2020/03/15","02:00:00","0"
"16","2020/03/15","03:00:00","0"
"17","2020/03/15","04:00:00","0"
"18","2020/03/15","05:00:00","0"
"19","2020/03/15","06:00:00","0"
"20","2020/03/15","07:00:00","16"
"21","2020/03/15","08:00:00","23"
"22","2020/03/15","09:00:00","8"
"23","2020/03/15","10:00:00","7"
"24","2020/03/15","11:00:00","3"
"25","2020/03/15","12:00:00","1"
"26","2020/03/15","13:00:00","2"
"27","2020/03/15","14:00:00","2"
"28","2020/03/15","15:00:00","4"
"29","2020/03/15","16:00:00","9"
"30","2020/03/15","17:00:00","11"
"31","2020/03/15","18:00:00","0"
"32","2020/03/15","19:00:00","0"
"33","2020/03/15","20:00:00","0"
"34","2020/03/15","21:00:00","0"
"35","2020/03/15","22:00:00","0"
"36","2020/03/15","23:00:00","0"
"37","2020/03/16","00:00:00","0"
"38","2020/03/16","01:00:00","0"
"39","2020/03/16","02:00:00","0"
"40","2020/03/16","03:00:00","0"
"41","2020/03/16","04:00:00","0"
"42","2020/03/16","05:00:00","0"
"43","2020/03/16","06:00:00","0"
"44","2020/03/16","07:00:00","0"
"45","2020/03/16","08:00:00","20"
"46","2020/03/16","09:00:00","19"
"47","2020/03/16","10:00:00","10"
"48","2020/03/16","11:00:00","4"
"49","2020/03/16","12:00:00","12"
"50","2020/03/16","13:00:00","6"
"51","2020/03/16","14:00:00","17"
"52","2020/03/16","15:00:00","7"
"53","2020/03/16","16:00:00","8"
"54","2020/03/16","17:00:00","17"
"55","2020/03/16","18:00:00","11"
"56","2020/03/16","19:00:00","11"
"57","2020/03/16","20:00:00","14"
"58","2020/03/16","21:00:00","0"
"59","2020/03/16","22:00:00","0"
"60","2020/03/16","23:00:00","3"
"61","2020/03/17","00:00:00","0"
"62","2020/03/17","01:00:00","2"
"63","2020/03/17","02:00:00","0"
"64","2020/03/17","03:00:00","0"
"65","2020/03/17","04:00:00","0"
"66","2020/03/17","05:00:00","0"
"67","2020/03/17","06:00:00","4"
"68","2020/03/17","07:00:00","0"
"69","2020/03/17","08:00:00","12"
"70","2020/03/17","09:00:00","13"
"71","2020/03/17","10:00:00","25"
"72","2020/03/17","11:00:00","10"
"73","2020/03/17","12:00:00","6"
"74","2020/03/17","13:00:00","6"
"75","2020/03/17","14:00:00","3"
"76","2020/03/17","15:00:00","11"
"77","2020/03/17","16:00:00","3"
"78","2020/03/17","17:00:00","10"
"79","2020/03/17","18:00:00","6"
"80","2020/03/17","19:00:00","15"
"81","2020/03/17","20:00:00","14"
"82","2020/03/17","21:00:00","10"
"83","2020/03/17","22:00:00","0"
"84","2020/03/17","23:00:00","0"
"85","2020/03/18","00:00:00","0"
"86","2020/03/18","01:00:00","0"
"87","2020/03/18","02:00:00","0"
"88","2020/03/18","03:00:00","0"
"89","2020/03/18","04:00:00","0"
"90","2020/03/18","05:00:00","0"
"91","2020/03/18","06:00:00","0"
"92","2020/03/18","07:00:00","0"
"93","2020/03/18","08:00:00","14"
"94","2020/03/18","09:00:00","11"
"95","2020/03/18","10:00:00","7"
"96","2020/03/18","11:00:00","2"
"97","2020/03/18","12:00:00","3"
"98","2020/03/18","13:00:00","10"
"99","2020/03/18","14:00:00","4"
"100","2020/03/18","15:00:00","3"
"101","2020/03/18","16:00:00","15"
"102","2020/03/18","17:00:00","13"
"103","2020/03/18","18:00:00","12"
"104","2020/03/18","19:00:00","7"
"105","2020/03/18","20:00:00","15"
"106","2020/03/18","21:00:00","15"
"107","2020/03/18","22:00:00","14"
"108","2020/03/18","23:00:00","22"
"109","2020/03/19","00:00:00","24"
"110","2020/03/19","01:00:00","7"
"111","2020/03/19","02:00:00","19"
"112","2020/03/19","03:00:00","24"
"113","2020/03/19","04:00:00","19"
"114","2020/03/19","05:00:00","13"
"115","2020/03/19","06:00:00","12"
"116","2020/03/19","07:00:00","22"
"117","2020/03/19","08:00:00","22"
"118","2020/03/19","09:00:00","5"
"119","2020/03/19","10:00:00","14"
"120","2020/03/19","11:00:00","2"
"121","2020/03/19","12:00:00","0"
