Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 1,8.275326404,0.047601263,4.178888461,21.58054711,0.011743225,-179.3839041,18.07738024,4.65825061,1.512663258,12.08726164,4,0.056910198,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 1,10.68136323,7.26E-04,8.378218249,25.53956835,1.41E-05,-12.28908202,11.53449456,6.692176196,1.304403575,27.65454451,6,0.029204323,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 1,11.88818379,1.01E-05,12.65846859,23.66666667,1.48E-06,-77.39120644,9.883502336,7.461295637,1.302386541,32.23490483,8,0.064665439,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 15,5.601171262,1.58E-06,14.50789391,25.17730496,1.96E-08,-150.4993741,8.063689407,6.63038297,0.973430986,40.21261507,5,0.112395878,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 15,5.436059934,8.52E-07,15.12642345,25.63176895,2.61E-08,-156.9830048,8.264288489,4.966647541,0.737559212,39.71599126,8,0.080908856,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 15,8.284044408,4.87E-05,11.07990243,29.83193277,5.44E-06,-141.7270712,10.47598489,4.999048607,0.927587362,29.62642278,8,-0.020113479,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 16,1.713338935,6.93E-04,8.425564128,22.1875,2.45E-04,-217.1258026,13.75860977,2.949063107,0.680236123,21.41524948,4,0.042099255,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 16,1.396035033,0.001506374,7.648621805,23.90572391,5.26E-05,-126.3839165,11.99124249,2.605600038,0.545612027,24.84173627,12,0.073689034,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 16,2.628302629,2.98E-04,9.267320051,22.82958199,6.45E-06,-148.6306331,10.5090373,3.145272166,0.588813273,29.27975104,4,0.032122891,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 2,6.368176712,0.005873198,6.287928047,22.61146497,0.001429643,-223.2485306,15.7361337,5.099540817,1.342666504,17.29289355,6,0.058262443,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 2,7.768619573,0.010720781,5.682463813,26.19926199,0.023129211,-107.0312416,19.04024156,2.846624521,1.009047444,10.34296516,5,0.021646007,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 2,7.053362196,0.03177064,4.588789238,27.30769231,0.15844541,-53.72247615,28.76627942,1.697234393,0.873649459,5.200050464,2,-0.010532323,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 25,16.92930734,0.138994656,3.073583617,20.05649718,0.03769469,-244.0088991,22.3652578,9.158609522,3.492984148,9.064646677,4,0.082478462,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 25,17.48459867,0.782676888,0.959491191,21.45015106,0.348609009,-136.2857281,38.61779512,5.330133424,3.644821244,3.008326582,5,0.150201661,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 25,22.13528949,0.657346408,1.246631933,23.98648649,0.28648226,-11.13390733,35.92459221,6.236983103,3.908813683,3.558556426,5,0.068854254,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 3,12.03672059,0.003472731,6.813385974,24.9122807,0.001844849,-153.5575371,14.87553504,6.235900629,1.677949766,16.67938158,11,0.072753455,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 3,13.95833333,NA,#¿NOMBRE?,NA,0.685665603,-151.4960465,65.77154139,1.230402142,1.412415471,1.087851884,5,0.017189934,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 3,15.73577313,7.01E-04,8.413602673,24.31506849,1.58E-04,-344.9615438,12.66497869,3.729166815,0.835348914,22.41011495,4,0.062533281,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 4,71.94858321,0.009790898,5.77687413,23.05194805,2.60E-04,-118.4476867,12.82759419,37.90292752,8.77714686,21.27732953,3,0.015800704,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 4,81.18676419,1.91E-05,12.01697565,26.19926199,2.72E-07,-11.2356578,9.885660233,45.78405665,7.434794559,35.48198969,12,0.096608861,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 4,77.29732117,1.15E-08,19.43535395,24.82517483,5.87E-11,-62.97307939,7.205796673,58.80851479,7.153314247,49.48349391,12,0.076316897,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 5,5.818798548,0.002970944,6.969447715,22.46835443,0.001141608,-202.481747,15.35201273,4.551299976,1.176642063,17.83050183,7,0.063086921,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 5,10.06944444,NA,#¿NOMBRE?,NA,0.121961261,-109.2687534,27.50579408,3.081850564,1.479493738,5.916453803,7,0.083074156,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
