Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 1,8.27532640378376,0.0476012628741046,4.17888846096261,21.580547112462,0.0117432247766365,-179.38390412561,18.0773802417775,4.65825060991844,1.51266325762773,12.0872616401996,4,0.0569101979211323,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 1,10.6813632316403,7.26228233517516e-4,8.37821824890633,25.5395683453237,1.41152413695167e-5,-12.2890820200316,11.5344945591032,6.69217619616031,1.30440357545534,27.6545445084249,6,0.0292043232753845,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 1,11.8881837946308,1.00504157148742e-5,12.6584685872494,23.6666666666667,1.47811700501599e-6,-77.3912064414762,9.88350233556121,7.46129563737196,1.30238654138556,32.2349048346587,8,0.0646654394911783,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 10,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 10,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 10,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 11,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 11,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 11,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 12,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 13,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 13,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
